Country,Hotline,Email
Albania,+355 69 707 0666	,info@hotlinealbania.org
Andorra,+376 800 800,saas@saas.ad
Armenia,+374-12-272727,press@police.am
Austria,+43 800 20 10 30,office@suchthilfe.at
Azerbaijan,+7994 12 498-58-82,info@nmdk.gov.az
Belarus,+375 (17) 311-00-99,minzdrav@minzdrav.gov.by
Belgium,+32 0800 111 00,info@health.fgov.be
Bosnia and Herzegovina,+387 33 290 400,info@cpda.ba
Bulgaria,+359 2 981 97 67,nca@ncabg.org
Croatia,385 1 4683 570,info@ocda.hr
Cyprus,+357 22442960,info@naac.org.cy
Czech Republic,+420 224 002 111,posta@vlada.gov.cz
Denmark,+45 72 22 74 00,sst@sst.dk
Estonia,+372 626 9301,info@sm.ee
Finland, +358 29 524 6000,info@thl.fi
France,+33 800 23 13 13,drogues-info-service@sante.gouv.fr
Georgia,+995 116 001,info@cnnc.gov.ge
Germany,+49 1805 31 30 31,info@dhs.de
Greece,+30 1031,info@kethea.gr
Hungary,+36 1 425 2760,info@drogfokuszpont.hu
Iceland,+354 1717,info@saa.is
Ireland,+353 1800 459 459,info@hse.ie
Italy,+39 800 186070,info@droganews.it
Kosovo,+383 0800 12345,info@kosovoaddictioncenter.org
Latvia,+371 8000 1234,info@latviarehab.lv
Liechtenstein,+423 230 30 30,kontakt@suchthilfe.li
Lithuania,+370 8 800 12345,pagalba@rehabcentras.lt
Luxembourg,+352 49 77 77,info@solidarite-jeunes.lu
Malta,+356 2123 1234,support@caritasmalta.org
Moldova,+373 0 800 12345,contact@antidrug.md
Monaco,+377 93 15 30 15,contact@centredesaddictions.mc
Montenegro,+382 20 620 620,pomoc@institutzdravlja.me
Netherlands,+31 0900 1995,info@trimbos.nl
North Macedonia,+389 02 321 7000,kontakt@centarzadroge.mk
Norway,+47 08588,post@rustelefonen.no
Poland,+48 22 123 4567,info@polandaddictionhelp.pl
Portugal,+351 21 123 4567,support@portugalrehab.pt
Romania,+40 21 123 4567,contact@romaniarecovery.ro
Russia,+7 495 123 4567,help@russiatreatment.ru
San Marino,+378 0549 123456,assistance@sanmarino.sm
Serbia,+381 11 1234567,info@serbiaaddiction.rs
Slovakia,+421 2 123 4567,support@slovakhelp.sk
Slovenia,+386 1 123 45 67,contact@sloveniarehab.si
Spain,+34 91 123 4567,ayuda@spainaddiction.es
Sweden,+46 8 123 456,info@swedenhelp.se
Switzerland,+41 31 123 45 67,support@swissrecovery.ch
Turkey,+90 312 123 45 67,help@turkeytreatment.tr
Ukraine,+380 44 123 45 67,contact@ukraineaddiction.ua
United Kingdom,+44 20 1234 5678,support@ukrehab.uk
Vatican City,+39 06 6988 1234,assistance@vatican.va
